מעסיק	פקודת הבטיחות בעבודה [נוסח חדש], התש"ל-1970
מעסיק	הוראות הבטיחות מיום 28.5.2019 עד יום 27.5.2024 תיקון מס' 11 – הוראת שעה ס"ח תשע"ט מס' 2761
מעסיק	חוק מס ערך מוסף, תשל"ו–1975
מעסיק	חוק ארגון הפיקוח על העבודה, תשי"ד-1954
מעסיק	חוק ארגון הפיקוח על העבודה (תיקון מס' 11 – הוראת שעה), התשע"ט-2018
מעסיק	הוראות סעיף 17(א)(2) יחולו, בשינויים המחוייבים לפי הענין, על חילוקי דעות בין נאמני בטיחות לבין מעביד מעסיק בקשר למעשי המעביד כאמור. ממונה על בטיחות (תיקון מס' 4)     תשמ"ט-1989
מעסיק	חוק העונשין, התשל"ז-1977
מעסיק	חוק הודעה מוקדמת לפיטורים ולהתפטרות, התשס"א-2001
מעסיק	הוראות בדבר דרכי סיוע של המעביד לועדת בטיחות במילוי תפקידיה; תקנות כאמור יכול שיהיו כלליות או לפי סוגי מפעלים, ענפי עבודה, מקצועות או אזורים.   מיום 15.7.2014 תיקון מס' 8 ס"ח תשע"ד מס' 2459
מעסיק	חוק הסדרים במשק המדינה (תיקוני חקיקה להשגת יעדי התקציב לשנת 1997), תשנ"ז-1996
מעסיק	תקנות 9 עד 11 ו-81, ככל שקיומן נדרש לשם מילוי הוראות תקנות 79 ו-80 לתקנות האמורות. 5.        תקנה 2(א) לתקנות הבטיחות בעבודה (עגורנאים, מפעילי מכונות הרמה אחרות ואתתים), התשנ"ג-1992
מעסיק	חוק בית הדין לעבודה תשכ"ט–1969
מעסיק	פקודת הבטיחות בעבודה (מס' 9), תשע"ו-2016
מעסיק	תקנות), כנוסחו ביום כ"א בטבת תשנ"ז (31 בדצמבר 1996
מעסיק	תקנות הבטיחות בעבודה (עבודה בגובה), התשס"ז-2007
מעסיק	פקודת המסים (גביה), תחול על גביית קנס מינהלי לפי סעיף זה וניתן לגבותו גם בדרך תובענה אזרחית. תכנית בטיחות (תיקון מס' 2)      תשמ"ב-1982
מעסיק	הוראות מעבר Go 12   חוק ארגון הפיקוח על העבודה, תשי"ד-1954
מעסיק	הוראות בדבר תקופת כהונתו של המועצה והתנאים להפסקת החברות בה.           (ד)  הודעה על הרכב מועצת המוסד תפורסם ברשומות. מיום 15.7.2014 תיקון מס' 8 ס"ח תשע"ד מס' 2459
מעסיק	תקנות עבודת הנוער (עבודות אסורות ועבודות מוגבלות), התשנ"ו-1995
מעסיק	תקנות. מיום 21.5.1982 תיקון מס' 2 ס"ח תשמ"ב מס' 1051
מעסיק	הוראות סעיף 8ד(א), דינו – מאסר ששה חדשים או קנס 50,000 שקלים. (תיקון     מס' 2)      תשמ"ב-1982
מעסיק	תקנות הבטיחות בעבודה (עבודות בנייה), התשמ"ח-1988
מעסיק	הוראות סעיף 35;           דינו – מאסר ששה חדשים או קנס 500 לירות, או שני הענשים כאחד. (תיקון מס' 8) תשע"ד-2014
מעסיק	חוק בית הדין לעבודה תשכ"ט-1969
מעסיק	חוק בית הדין לעבודה, תשכ"ט-1969
מעסיק	פקודת הבטיחות בעבודה;           "הוראות הבטיחות" – הוראות הדין המפורטות בתוספת;           "מבצע בנייה" – כמשמעותו בתקנות 1 ו-6 לתקנות הבטיחות בעבודה (עבודות בנייה), התשמ"ח-1988
